"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1153281655433379840","x1454107961341579269",2021-10-29 15:28:48,"nikefcatus","今週もありがとうございました😊
また来週✨
#ベストヒットUSA","Twitter for Android",,,,,FALSE,FALSE,0,0,0,0,"ベストヒットUSA",,,,,,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/nikefcatus/status/1454107961341579269","ニケ Nike","Japan","あの街へ 行こう。
I wanna go somewhere far away",,FALSE,3,20,0,378,767,2019-07-22 12:32:28,FALSE,,,,"https://pbs.twimg.com/profile_banners/1153281655433379840/1611321508","","http://pbs.twimg.com/profile_images/1352619179396853762/HeeicE3w_normal.jpg"
"x93603329","x1454107961333219329",2021-10-29 15:28:48,"chachathaib","Ketika bingung mo jajan apa, jajan in the soop ajalah.","Twitter for iPhone",,,,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/chachathaib/status/1454107961333219329","Annisa N. Thaib","ID - JKT","a lot like spark ✰ ♥ • CP: hello@magnahub.id // +62 812-9658-8268","http://karyakarsa.com/chachathaib",FALSE,67457,589,157,129903,35730,2009-11-30 10:22:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/93603329/1506395868","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1435659642604974085/WvLg117s_normal.jpg"
"x929902147537330176","x1454107961329029129",2021-10-29 15:28:48,"Hwayoung993","karna cinta membutuhkan pengorbanan #ryugalau","twittbot.net",,,,,FALSE,FALSE,0,0,0,0,"ryugalau",,,,,,,,,,,,,,,"in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Hwayoung993/status/1454107961329029129","RHwayoung",,"22 April 1993 ( RP) as Ryu Hwayoung (aktris)",,FALSE,26,46,2,16629,0,2017-11-13 02:42:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/929902147537330176/1513564662","","http://pbs.twimg.com/profile_images/942584886703022081/sWpmwjfL_normal.jpg"
"x1970013596","x1454107961341603844",2021-10-29 15:28:48,"lauraduda412","A Godly Person Is Living Simple And Yet Happy An U
The moment you start to think you understand love 
==
كٍوْدً خْصَمً نٰمِشٌيٰ KM11:KM11
كٍوْدً خْصَمً سيفى P10:P10 https://t.co/v0IA6Hu54t","Twitter for Mac",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x421823722","ROSEBATALAN","en",,,,,,,,,,,,,,,,"x1454107926931644424","A Godly Person Is Living Simple And Yet Happy An U
The moment you start to think you understand love 
==
كٍوْدً خْصَمً نٰمِشٌيٰ KM11:KM11
كٍوْدً خْصَمً سيفى P10:P10 https://t.co/v0IA6Hu54t",2021-10-29 15:28:40,"Echofon  Android",4,3,"x421823722","ROSEBATALAN","Energy 💪",0,35,6,,"#زلزال
Love❤️❤️
Happy ❤️❤️❤️❤️
I have no taste for corruptible food nor for the pleasures of this life. I desire the Brea",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lauraduda412/status/1454107961341603844","MeganSir, I admit your general rule, That every po",,"Adam never trust anyone who says they do not see color. this means to them,you are invisible.",,FALSE,205,57,0,11989,4499,2013-10-19 01:38:49,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1449224816226344960/eTUOYIKM_normal.jpg"
"x1420525027","x1454107961345785858",2021-10-29 15:28:48,"peco_pecos","レン担とカミュ担、ディートフリートお兄様のこと好き率高くない？","Twitter for iPhone",,,,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/peco_pecos/status/1454107961345785858","ぺこ太🌹🌹🧡",,"幻覚を見ています。概要→《http://twpf.jp/peco_pecos》 無断転載×（Reprint is prohibited）/🔞垢→@peco_pecos18","https://marshmallow-qa.com/peco_pecos?utm_medium=url_text&utm_source=promotion",FALSE,7299,235,90,50494,26903,2013-05-11 12:16:17,FALSE,,,,"https://pbs.twimg.com/profile_banners/1420525027/1618219163","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1407687613989806084/Z3eKxIHC_normal.png"
"x634329163","x1454107961329000449",2021-10-29 15:28:48,"AgnesNOfficial","a good friend knows all your best stories
a best friend has lived them with you","twittbot.net",,,,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AgnesNOfficial/status/1454107961329000449","off bc school",,"lol youre no longer in my bio","http://onedirectionmusic.com",FALSE,851,878,3,149460,584,2012-07-13 05:42:34,FALSE,,,,,"http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/617642614154596353/k6skqM0U_normal.jpg"
"x436467614","x1454107961341583361",2021-10-29 15:28:48,"resa060692","On the marathon undertaking called Endgame. Mission: for Indonesia to have a new message to offer the world. https://t.co/BdSmkYaIwJ","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1340884052","GWirjawan","en",,,,,,,,,,,,,,,,"x1453914897914290177","On the marathon undertaking called Endgame. Mission: for Indonesia to have a new message to offer the world. https://t.co/BdSmkYaIwJ",2021-10-29 02:41:38,"Twitter for iPhone",696,172,"x1340884052","GWirjawan","Gita Wirjawan",1047666,301,17584,"Indonesia","A proud Indonesian. Bangga Berbangsa.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/resa060692/status/1454107961341583361","Resa.","Medan Kota, Indonesia","🦃",,FALSE,334,201,0,19529,2122,2011-12-14 06:28:17,FALSE,,,,"https://pbs.twimg.com/profile_banners/436467614/1373839230","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1323648347081568257/VNzoSG9m_normal.jpg"
"x1328752836310568960","x1454107961337389062",2021-10-29 15:28:48,"BhengChangkyun","Hi @979WNCI I would really love to hear #Oneday by @OfficialMonstaX on your station today! Thank you!
#monekradio","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"Oneday monekradio",,,,,,,,,,,,,"x1439489294834585600 x29721032 x3030158859","monekradio 979WNCI OfficialMonstaX","en",,,,,,,,,,,,,,,,"x1454106248362827781","Hi @979WNCI I would really love to hear #Oneday by @OfficialMonstaX on your station today! Thank you!
#monekradio",2021-10-29 15:22:00,"Twitter Web App",2,2,"x1439489294834585600","monekradio","MONSTA X RADIO REQUESTS",267,11,827,,"This is a place for requesting @OfficialMonstaX songs on US radios. Follow for daily tweets to RT.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BhengChangkyun/status/1454107961337389062","bheng_changkyun💜The Dreaming",,,,FALSE,41,87,0,9205,8028,2020-11-17 17:32:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/1328752836310568960/1634933331","","http://pbs.twimg.com/profile_images/1452050871299100672/yaHxsFnr_normal.jpg"
"x1104229104977555456","x1454107961354121217",2021-10-29 15:28:48,"Horry373","@maaya_shikaco 可能性は限りなく0に近いというかもう0ですが
これから頑張ってくださいと言って指をくわえて眺める事しか出来ないですな","Twitter for iPhone",58,"x1454107002469187590","x902204719250018304","maaya_shikaco",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x902204719250018304","maaya_shikaco","ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Horry373/status/1454107961354121217","H O R R Y P🥍","美波のそば","雑多垢 アイマス(デレミリ主)/ラブライブ/日本TOP4(ゲーム実況)/プロセカ/音ゲー/アニメ/その他諸々、RTとソシャゲツイ多め OCU商③ 無言フォロー失礼します。推しや担当等色々あるので良ければ→https://twpf.jp/Horry373",,FALSE,3825,4912,47,57159,143424,2019-03-09 03:55:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/1104229104977555456/1630345752","","http://pbs.twimg.com/profile_images/1443606107285438469/kFAUjO_0_normal.jpg"
"x1005504412813484032","x1454107961337335814",2021-10-29 15:28:48,"0312_0129","興味が薄れる度に寂しさと安堵が交錯する。所詮はその程度なんだよね","Twitter for iPhone",,,,,FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,,,"ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/0312_0129/status/1454107961337335814","SMILE☻HAPPY☻LIFE","地球","L☻VE is …(備忘録)",,FALSE,1,6,0,70,404,2018-06-09 17:38:28,FALSE,,,,"https://pbs.twimg.com/profile_banners/1005504412813484032/1623521285","","http://pbs.twimg.com/profile_images/1452287081242234883/-hIypc-d_normal.jpg"
